Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,52579.445313,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,52961.839844,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,54873.816406,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,55256.210938,21698990
2020-03-06,56500.000000,57200.000000,56200.000000,56500.000000,54013.425781,18716656
2020-03-09,56500.000000,56500.000000,56500.000000,56500.000000,54013.425781,0
2020-03-10,53800.000000,54900.000000,53700.000000,54600.000000,52197.046875,32106554
2020-03-11,54300.000000,54400.000000,52000.000000,52100.000000,49807.070313,45707281
2020-03-12,52100.000000,52100.000000,52100.000000,52100.000000,49807.070313,0
2020-03-13,47450.000000,51600.000000,46850.000000,49950.000000,47751.691406,59462933
2020-03-16,50100.000000,50900.000000,48800.000000,48900.000000,46747.902344,33339821
2020-03-17,46900.000000,49650.000000,46700.000000,47300.000000,45218.320313,51218151
2020-03-18,47750.000000,48350.000000,45600.000000,45600.000000,43593.136719,40152623
2020-03-19,46400.000000,46650.000000,42300.000000,42950.000000,41059.757813,56925513
2020-03-20,44150.000000,45500.000000,43550.000000,45400.000000,43401.937500,49730008
2020-03-23,42600.000000,43550.000000,42400.000000,42500.000000,40629.570313,41701626
2020-03-24,43850.000000,46950.000000,43050.000000,46950.000000,44883.722656,49801908
2020-03-25,48950.000000,49600.000000,47150.000000,48650.000000,46508.906250,52735922
2020-03-26,49000.000000,49300.000000,47700.000000,47800.000000,45696.316406,42185129
2020-03-27,49600.000000,49700.000000,46850.000000,48300.000000,46174.312500,39896178
2020-03-30,47050.000000,48350.000000,46550.000000,47850.000000,46081.855469,26797395
2020-03-31,48000.000000,48500.000000,47150.000000,47750.000000,45985.546875,30654261
2020-04-01,47450.000000,47900.000000,45800.000000,45800.000000,44107.605469,27259532
2020-04-02,46200.000000,46850.000000,45350.000000,46800.000000,45070.656250,21621076
2020-04-03,47400.000000,47600.000000,46550.000000,47000.000000,45263.265625,22784682
2020-04-06,47500.000000,48800.000000,47250.000000,48700.000000,46900.445313,23395726
2020-04-07,49650.000000,50200.000000,49000.000000,49600.000000,47767.191406,31524034
2020-04-08,49600.000000,49750.000000,48600.000000,48600.000000,46804.140625,25010314
2020-04-09,49750.000000,49800.000000,48700.000000,49100.000000,47285.664063,22628058
2020-04-10,48950.000000,49250.000000,48650.000000,49250.000000,47430.121094,17839111
2020-04-13,48650.000000,48900.000000,48300.000000,48300.000000,46515.230469,14431800
2020-04-14,48800.000000,49200.000000,48300.000000,49000.000000,47189.359375,14206216
2020-04-16,49350.000000,49350.000000,48550.000000,49000.000000,47189.359375,23349760
2020-04-17,50800.000000,52000.000000,50300.000000,51400.000000,49500.671875,32041675
2020-04-20,51400.000000,51400.000000,50000.000000,50100.000000,48248.710938,21866354
2020-04-21,49400.000000,49700.000000,48700.000000,49250.000000,47430.121094,27407543
2020-04-22,48700.000000,50000.000000,48350.000000,49850.000000,48007.953125,18613864
2020-04-23,50200.000000,50300.000000,49500.000000,49850.000000,48007.953125,18754442
2020-04-24,49650.000000,49750.000000,49000.000000,49350.000000,47526.425781,15618347
